transaction_id,timestamp,home_country,source_currency,dest_currency,channel,kyc_tier,ip_country,amount_src,amount_usd,fee,exchange_rate_src_to_dest,new_device,location_mismatch,ip_risk_score,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk
txn_sample_001,2026-09-01 00:00:00+00:00,UK,GBP,INR,WEB,STANDARD,UK,216.0,270.0,4.26,104.166667,0,0,0.301,4,0.892,0,0.407,0,0,0.0
txn_sample_002,2026-09-01 00:37:00+00:00,UK,GBP,PHP,WEB,STANDARD,US,534.09,667.61,8.74,73.529412,0,1,0.881,718,0.953,0,0.169,0,0,0.0
txn_sample_003,2026-09-01 01:14:00+00:00,US,USD,MXN,WEB,STANDARD,CA,1817.62,1817.62,27.81,17.241379,0,1,1.0,16,0.161,0,0.55,4,6,0.2
txn_sample_004,2026-09-01 01:51:00+00:00,US,USD,MXN,MOBILE,STANDARD,US,286.93,286.93,5.65,17.241379,0,0,0.025,263,0.522,0,0.223,0,0,0.2
txn_sample_005,2026-09-01 02:28:00+00:00,US,USD,USD,MOBILE,LOW,UK,1614.13,1614.13,25.43,1.0,0,1,1.0,28,0.279,0,0.871,3,5,0.0
txn_sample_006,2026-09-01 03:05:00+00:00,US,USD,USD,WEB,STANDARD,US,294.8,294.8,4.3,1.0,0,0,0.415,1018,0.934,0,0.087,0,1,0.0
txn_sample_007,2026-09-01 03:42:00+00:00,UK,GBP,CNY,ATM,STANDARD,US,1636.89,2046.11,25.01,8.928571,0,1,0.228,4,0.892,0,0.407,0,0,0.0
txn_sample_008,2026-09-01 04:19:00+00:00,US,USD,CAD,MOBILE,STANDARD,US,140.43,140.43,3.35,1.351351,0,0,0.48,132,0.675,0,0.158,0,0,0.0
txn_sample_009,2026-09-01 04:56:00+00:00,US,USD,INR,WEB,LOW,UK,223.35,223.35,4.56,83.333333,1,1,1.0,24,0.192,1,0.855,8,9,0.0
txn_sample_010,2026-09-01 05:33:00+00:00,CA,CAD,INR,WEB,LOW,US,876.64,648.71,13.77,61.666667,1,1,0.927,15,0.149,0,0.405,4,5,0.12
txn_sample_011,2026-09-01 06:10:00+00:00,US,USD,EUR,MOBILE,STANDARD,US,58.67,58.67,2.07,0.925926,0,0,0.356,263,0.522,0,0.223,0,0,0.0
txn_sample_012,2026-09-01 06:47:00+00:00,US,USD,NGN,MOBILE,LOW,UK,461.25,461.25,8.89,1111.111111,1,1,1.0,21,0.234,1,0.484,3,4,0.0
txn_sample_013,2026-09-01 07:24:00+00:00,US,USD,EUR,MOBILE,STANDARD,US,48.87,48.87,1.38,0.925926,0,0,0.977,298,0.336,0,0.166,0,0,0.0
txn_sample_014,2026-09-01 08:01:00+00:00,US,USD,CAD,ATM,STANDARD,US,216.3,216.3,4.03,1.351351,0,0,0.397,1018,0.934,0,0.087,0,0,0.0
txn_sample_015,2026-09-01 08:38:00+00:00,UK,GBP,MXN,WEB,STANDARD,UK,151.06,188.83,2.65,21.551724,0,0,0.509,90,0.882,0,0.175,0,0,0.0
txn_sample_016,2026-09-01 09:15:00+00:00,US,USD,USD,MOBILE,LOW,US,62.16,62.16,2.09,1.0,0,0,0.431,415,0.568,0,0.304,0,0,0.0
txn_sample_017,2026-09-01 09:52:00+00:00,US,USD,EUR,WEB,ENHANCED,US,574.8,574.8,9.12,0.925926,1,0,0.294,367,0.789,0,0.176,0,0,0.0
txn_sample_018,2026-09-01 10:29:00+00:00,UK,GBP,CAD,WEB,STANDARD,UK,131.76,164.7,2.66,1.689189,0,0,0.619,4,0.892,0,0.407,0,1,0.0
txn_sample_019,2026-09-01 11:06:00+00:00,UK,GBP,PHP,WEB,STANDARD,UK,132.51,165.64,2.98,73.529412,0,0,0.183,4,0.892,0,0.407,0,0,0.0
txn_sample_020,2026-09-01 11:43:00+00:00,CA,CAD,USD,WEB,STANDARD,UK,765.75,566.65,13.04,0.74,1,1,1.0,22,0.262,1,0.503,3,4,0.0
