home_country,source_currency,dest_currency,channel,kyc_tier,ip_country,amount_src,amount_usd,fee,exchange_rate_src_to_dest,ip_risk_score,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,hour_of_day,day_of_week,is_weekend,month,night_hour,account_very_new,account_new,velocity_burst,amount_high,ip_high_risk,device_low_trust,corridor_high_risk,cross_border,high_chargeback_history,new_device,location_mismatch,fraud_probability
US,USD,USD,WEB,STANDARD,US,397.98,397.98,4.3,1.0,0.47724999999999995,1018,0.934,0,0.087,0,1,0.0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.12208816785860382
US,USD,CNY,MOBILE,STANDARD,US,457.38000000000005,457.38000000000005,5.93,7.142857,0.20814999999999997,263,0.522,0,0.223,0,0,0.0,4,5,1,12,1,0,0,0,0,0,0,0,1,0,0,0,0.08724905435746494
US,USD,INR,WEB,ENHANCED,US,109.91700000000002,109.91700000000002,2.47,83.333333,0.27714999999999995,257,0.894,0,0.257,0,0,0.0,20,2,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0.01945775316320934
UK,GBP,GBP,MOBILE,STANDARD,UK,370.9395,463.68450000000007,5.29,1.0,0.18514999999999998,4,0.892,0,0.407,0,0,0.0,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.6040191972713599
US,USD,GBP,MOBILE,STANDARD,CA,285.34950000000003,285.34950000000003,4.82,0.8,0.38525,298,0.336,0,0.166,0,0,0.0,14,2,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0.3905540693239256
US,USD,CNY,ATM,STANDARD,US,195.9255,195.9255,2.53,7.142857,1.0,147,0.551,0,0.391,0,0,0.0,10,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.12669117807952932
UK,GBP,MXN,WEB,STANDARD,UK,233.69850000000002,292.1265,3.93,21.551724,0.38295,684,0.833,0,0.241,0,0,0.0,15,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.047848495572502765
US,USD,EUR,MOBILE,STANDARD,US,178.281,178.281,2.11,0.925926,0.15065,147,0.551,0,0.391,0,0,0.0,18,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0.07629968231129552
UK,GBP,USD,MOBILE,STANDARD,UK,13489.6185,16862.0265,151.19,1.25,0.5313,4,0.892,0,0.407,4,4,0.0,7,2,0,3,1,1,0,1,1,0,0,0,1,0,0,0,1.0
UK,GBP,GBP,MOBILE,STANDARD,UK,190.7415,238.42350000000005,3.57,1.0,0.3082,4,0.892,0,0.407,0,0,0.0,16,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5376191543434714
US,USD,GBP,WEB,ENHANCED,US,208.656,208.656,3.48,0.8,0.39215,367,0.789,0,0.176,0,1,0.0,17,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.04134130356302367
US,USD,PHP,WEB,STANDARD,US,144.747,144.747,2.57,58.823529,0.07935,298,0.336,0,0.166,0,0,0.1,12,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.2740723352710888
CA,CAD,PHP,MOBILE,LOW,CA,760.1715,562.5315,10.19,43.529412,0.40019999999999994,615,0.515,0,0.355,3,3,0.0,23,2,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0.7090282719895669
US,USD,EUR,MOBILE,STANDARD,US,855.225,855.225,12.0,0.925926,0.22655,1018,0.934,0,0.087,0,0,0.0,19,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0.07777191407435273
UK,GBP,MXN,MOBILE,STANDARD,UK,55.3635,69.20100000000001,1.02,21.551724,0.14834999999999998,4,0.742,0,0.407,0,0,0.0,21,3,0,11,0,1,0,0,0,0,0,0,1,0,1,0,0.31017603226137
UK,GBP,CNY,WEB,STANDARD,UK,52.987500000000004,66.23100000000001,2.24,8.928571,0.78315,4,0.892,0,0.407,0,0,0.0,13,6,1,12,0,1,0,0,0,0,0,0,1,0,0,0,0.6150875282913513
CA,CAD,EUR,WEB,LOW,UK,503.01000000000005,372.22200000000004,6.55,0.685185,0.6554999999999999,615,0.515,0,0.355,0,0,0.0,0,4,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0.7127917182636261
US,USD,USD,MOBILE,ENHANCED,US,275.94,275.94,4.33,1.0,0.1564,367,0.939,0,0.176,0,0,0.0,18,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.011024736002445515
US,USD,GBP,WEB,STANDARD,US,70.38900000000001,70.38900000000001,2.43,0.8,0.32774999999999993,263,0.522,0,0.223,0,1,0.0,22,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1413853849305962
US,USD,INR,WEB,ENHANCED,US,130.41,130.41,2.01,83.333333,1.0,367,0.939,0,0.176,0,0,0.0,19,4,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0.02060499663818355
US,USD,GBP,ATM,ENHANCED,US,237.03300000000004,237.03300000000004,3.77,0.8,0.41054999999999997,257,0.894,0,0.257,5,5,0.0,5,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.15897323751726125
US,USD,MXN,WEB,LOW,UK,269.5005,269.5005,3.72,17.241379,1.0,52,0.131,1,0.767,7,10,0.2,12,6,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1.0
US,USD,NGN,MOBILE,STANDARD,CA,166.1715,166.1715,4.01,1111.111111,0.7038,263,0.372,0,0.223,0,0,0.25,8,3,0,3,0,0,0,0,0,0,1,0,1,0,1,1,0.4514260059591674
US,USD,INR,WEB,STANDARD,US,692.8065000000001,692.8065000000001,8.08,83.333333,0.2898,298,0.336,0,0.166,0,0,0.0,0,6,1,12,1,0,0,0,0,0,1,0,1,0,0,0,0.16999530515266395
US,USD,GBP,ATM,STANDARD,US,107.3925,107.3925,1.56,0.8,0.7325499999999999,298,0.336,0,0.166,0,0,0.0,20,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.16600278842921712
US,USD,INR,MOBILE,STANDARD,US,492.15600000000006,492.15600000000006,6.19,83.333333,0.1311,1016,0.944,0,0.247,8,8,0.0,21,4,0,12,0,0,0,1,0,0,0,0,1,0,0,0,0.2895859949755519
CA,CAD,PHP,WEB,STANDARD,CA,953.343,705.4695000000002,11.28,43.529412,1.0,6,0.367,1,0.863,3,4,0.0,8,3,0,12,0,1,0,1,0,1,1,0,1,1,1,0,1.0
